Property,Account No,Trans No,Res No,Date,Transaction Description,Reason,GL Code,User Name,Amount
Sunland RV Resort Emerald Desert,368656,15652243,215800,1-Apr-19,Void: 03-ED 31 Day Rate - (01-Apr-19),Incorrect Entry,Lot-Monthly,Amanda,0.62
Sunland RV Resort Emerald Desert,369125,15581260,216171,1-Apr-19,Void: 02-ED Weekly Rate - (01-Apr-19),Cancelled Reservation,Lot-Weekly,Amanda,75
Sunland RV Resort Emerald Desert,374220,15757679,219912,1-Apr-19,Void: 01-ED Daily Charge - (01-Apr-19),Cancelled Reservation,Lot-Daily,Amanda,93
Sunland RV Resort Emerald Desert,374220,15757680,219912,1-Apr-19,Void:    - TOT,Cancelled Reservation,Transient/Occupancy Tax,Amanda,10.12
Sunland RV Resort Emerald Desert,374220,15757681,219912,1-Apr-19,Void:    - 1 x Children,Cancelled Reservation,ADDITIONAL OCUPNTS,Amanda,2
Sunland RV Resort Emerald Desert,374220,15757682,219912,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,374220,15757683,219912,1-Apr-19,Void:    - TOT,Cancelled Reservation,Transient/Occupancy Tax,Amanda,0.11
Sunland RV Resort Emerald Desert,342981,15767629,196460,1-Apr-19,Void: 02-ED Weekly Rate - (01-Apr-19),Cancelled Reservation,Lot-Weekly,Amanda,81.65
Sunland RV Resort Emerald Desert,342981,15767630,196460,1-Apr-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,342981,15767631,196460,1-Apr-19,Void:    - COA,Cancelled Reservation,Good Sam Discount,Amanda,-8.07
Sunland RV Resort Emerald Desert,369569,15571593,216492,1-Apr-19,Void: 07-ED Parking/Storage - (01-Apr-19),Cancelled Reservation,PARKING,Amanda,0
Sunland RV Resort Emerald Desert,329999,13921388,187519,1-Apr-19,Void: 02W- Emerald Weekly Rates - (01-Apr-19),Incorrect Entry,Lot-Weekly,Amanda,105
Sunland RV Resort Emerald Desert,368660,15531668,215803,1-Apr-19,Void: 03-ED 31 Day Rate - (01-Apr-19),Cancelled Reservation,Lot-Monthly,Amanda,0.67
Sunland RV Resort Emerald Desert,333964,14084302,190271,1-Apr-19,Void: 02W- Emerald Weekly Rates - (01-Apr-19),Testing ,Lot-Weekly,Amanda,79
