Property,Account No,Trans No,Res No,Date,Transaction Description,Reason,GL Code,User Name,Amount
Sunland RV Resort Emerald Desert,379899,15954073,224141,1-Jul-19,Void: 02-ED Weekly Rate - (01-Jul-19),Cancelled Reservation,Lot-Weekly,Amanda,48
Sunland RV Resort Emerald Desert,381871,16045618,226526,1-Jul-19,Void: ED-306/307: 01-ED Daily Charge - (01-Jul-19),Cancelled Reservation,Lot-Daily,Amanda,65
Sunland RV Resort Emerald Desert,381871,16045619,226526,1-Jul-19,Void:    - 1 x Pets,Cancelled Reservation,PETS,Amanda,3
Sunland RV Resort Emerald Desert,381871,16045620,226526,1-Jul-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,348109,14649664,200223,1-Jul-19,Void: 03A-ED Monthly - (01-Jul-19),Cancelled Reservation,Lot-Monthly,Darlene,19.67
Sunland RV Resort Emerald Desert,376710,15901777,221788,1-Jul-19,Void: 07-ED Parking/Storage - (01-Jul-19),Cancelled Reservation,PARKING,Lee,0
Sunland RV Resort Emerald Desert,384443,16083991,227552,1-Jul-19,Void: 01-ED Daily Charge - (01-Jul-19),Incorrect Entry,Lot-Daily,Lee,54
Sunland RV Resort Emerald Desert,384443,16083992,227552,1-Jul-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Lee,5.83
Sunland RV Resort Emerald Desert,384443,16083993,227552,1-Jul-19,Void:    - Internet Access-ED,Incorrect Entry,USAGE REIMB-WIFI,Lee,1
Sunland RV Resort Emerald Desert,384443,16083994,227552,1-Jul-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Lee,0.11
Sunland RV Resort Emerald Desert,382699,16036315,226279,1-Jul-19,Void: 02-ED Weekly Rate - (01-Jul-19),Cancelled Reservation,Lot-Weekly,NBalch,47.67
Sunland RV Resort Emerald Desert,382699,16036316,226279,1-Jul-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,NBalch,1
Sunland RV Resort Emerald Desert,384386,16082729,227506,1-Jul-19,Void: 82-GV Weekly Charge - (01-Jul-19),Incorrect Entry,Lot-Weekly,Olivia,0
Sunland RV Resort Emerald Desert,381871,16045621,226526,2-Jul-19,Void: ED-306/307: 01-ED Daily Charge - (02-Jul-19),Cancelled Reservation,Lot-Daily,Amanda,65
Sunland RV Resort Emerald Desert,381871,16045622,226526,2-Jul-19,Void:    - 1 x Pets,Cancelled Reservation,PETS,Amanda,3
Sunland RV Resort Emerald Desert,381871,16045623,226526,2-Jul-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Amanda,1
Sunland RV Resort Emerald Desert,370771,16094854,217360,2-Jul-19,Void: 45 Ft. RV Storage - (21-Jun-19 - 21-Aug-19),Incorrect Entry,Storage,Amanda,"36,600.00"
