Sunland RV Resort Emerald Desert,,,,,,,,,,,
Void Reasons,,,,,,,,,,,
Date: From 1 Oct 2019 to 31 Dec 2019,,,,,,,,,,,
,,,,,,,,,,,
,Property,Account No,Trans No,Res No,Date,Transaction Description,Reason,GL Code,User Name,,Amount
,,,,,,,,,,,
,Sunland RV Resort Emerald Desert,384765,16230639,227792,1-Oct-19,Void: 07-ED Parking/Storage - (01-Oct-19),Cancelled Reservation,PARKING,Amanda,,0
,Sunland RV Resort Emerald Desert,368679,15984798,215820,1-Oct-19,Void: 02-ED Weekly Rate - (01-Oct-19),Cancelled Reservation,Lot-Weekly,Amanda,,62
,Sunland RV Resort Emerald Desert,384766,16230824,227793,1-Oct-19,Void: 07-ED Parking/Storage - (01-Oct-19),Cancelled Reservation,PARKING,Amanda,,0
,Sunland RV Resort Emerald Desert,381523,16042331,225307,1-Oct-19,Void: 45 Ft. RV Storage,Cancelled Reservation,Storage,Amanda,,600
,Sunland RV Resort Emerald Desert,381523,16042199,225307,1-Oct-19,Void: 07-ED Parking/Storage - (01-Oct-19),Cancelled Reservation,PARKING,Amanda,,0
,Sunland RV Resort Emerald Desert,386055,16407764,228796,1-Oct-19,Void: Energy Charge - (9946 - 9946),Incorrect Entry,USAGE REIMB-ELECTRIC,Becky,,0
,Sunland RV Resort Emerald Desert,386055,16407761,228796,1-Oct-19,Void: Energy Base Charge,Incorrect Entry,USAGE REIMB-ELECTRIC,Becky,,9.6
,Sunland RV Resort Emerald Desert,386055,16407780,228796,1-Oct-19,Void: Energy Charge - (9997 - 9997),Incorrect Entry,USAGE REIMB-ELECTRIC,Becky,,0
,Sunland RV Resort Emerald Desert,386055,16407778,228796,1-Oct-19,Void: Energy Base Charge,Incorrect Entry,USAGE REIMB-ELECTRIC,Becky,,9.6
,Sunland RV Resort Emerald Desert,390786,16407126,232695,1-Oct-19,Void: 40 Ft. RV Storage - (09-Sep-19),Incorrect Entry,Storage,Becky,,600
,Sunland RV Resort Emerald Desert,371090,16407840,217575,1-Oct-19,Void: Energy Charge - (58743 - 58832),Incorrect Entry,USAGE REIMB-ELECTRIC,Becky,,10.4
,Sunland RV Resort Emerald Desert,371090,16407838,217575,1-Oct-19,Void: Energy Base Charge,Incorrect Entry,USAGE REIMB-ELECTRIC,Becky,,9.6
,Sunland RV Resort Emerald Desert,371090,16407839,217575,1-Oct-19,Void: California Surcharge,Cancelled Reservation,USAGE REIMB-ELECTRIC,Becky,,0.03
,Sunland RV Resort Emerald Desert,348109,14649756,200223,1-Oct-19,Void: 03A-ED Monthly - (01-Oct-19),Cancelled Reservation,Lot-Monthly,Darlene,,19.67
,Sunland RV Resort Emerald Desert,388539,16271552,230680,1-Oct-19,Void: ED-168: 02-ED Weekly Rate - (01-Oct-19),Incorrect Entry,Lot-Weekly,Jenn,,61
,Sunland RV Resort Emerald Desert,388539,16271553,230680,1-Oct-19,Void:    - Internet Access-ED,Incorrect Entry,USAGE REIMB-WIFI,Jenn,,1
,Sunland RV Resort Emerald Desert,391895,16339806,234624,1-Oct-19,Void: 01-ED Daily Charge - (01-Oct-19),Cancelled Reservation,Lot-Daily,Jenn,,99
,Sunland RV Resort Emerald Desert,391895,16339807,234624,1-Oct-19,Void:    - TOT,Cancelled Reservation,Transient/Occupancy Tax,Jenn,,9.7
,Sunland RV Resort Emerald Desert,391895,16339808,234624,1-Oct-19,Void:    - 1 x Pets,Cancelled Reservation,PETS,Jenn,,3
,Sunland RV Resort Emerald Desert,391895,16339809,234624,1-Oct-19,Void:    - Internet Access-ED,Cancelled Reservation,USAGE REIMB-WIFI,Jenn,,1
,Sunland RV Resort Emerald Desert,391895,16339810,234624,1-Oct-19,Void:    - TOT,Cancelled Reservation,Transient/Occupancy Tax,Jenn,,0.11
,Sunland RV Resort Emerald Desert,391895,16339811,234624,1-Oct-19,Void:    - MILITARY DISCOUNT,Cancelled Reservation,MilitaryDiscount,Jenn,,-9.8
,Sunland RV Resort Emerald Desert,391895,16339842,234624,1-Oct-19,Void: 01-ED Daily Charge - (01-Oct-19),Incorrect Entry,Lot-Daily,Jenn,,99
,Sunland RV Resort Emerald Desert,391895,16339843,234624,1-Oct-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Jenn,,9.7
,Sunland RV Resort Emerald Desert,391895,16339844,234624,1-Oct-19,Void:    - 1 x Pets,Incorrect Entry,PETS,Jenn,,3
,Sunland RV Resort Emerald Desert,391895,16339845,234624,1-Oct-19,Void:    - Internet Access-ED,Incorrect Entry,USAGE REIMB-WIFI,Jenn,,1
,Sunland RV Resort Emerald Desert,391895,16339846,234624,1-Oct-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Jenn,,0.11
,Sunland RV Resort Emerald Desert,391895,16339847,234624,1-Oct-19,Void:    - MILITARY DISCOUNT,Incorrect Entry,MilitaryDiscount,Jenn,,-9.8
,Sunland RV Resort Emerald Desert,386618,16355561,229208,1-Oct-19,Void: 01-ED Daily Charge - (01-Oct-19),Incorrect Entry,Lot-Daily,Jenn,,88
Report Generated: 30 Oct 2019 at 11:58 AM PDT,,,,,,,,,,Page 1 of 348,
Sunland RV Resort Emerald Desert,,,,,,,,,,,
Void Reasons,,,,,,,,,,,
Date: From 1 Oct 2019 to 31 Dec 2019,,,,,,,,,,,
,,,,,,,,,,,
,Property,Account No,Trans No,Res No,Date,Transaction Description,Reason,GL Code,User Name,,Amount
,,,,,,,,,,,
,Sunland RV Resort Emerald Desert,386618,16355562,229208,1-Oct-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Jenn,,9.57
,Sunland RV Resort Emerald Desert,386618,16355563,229208,1-Oct-19,Void:    - 1 x Pets,Incorrect Entry,PETS,Jenn,,3
,Sunland RV Resort Emerald Desert,386618,16355564,229208,1-Oct-19,Void:    - Internet Access-ED,Incorrect Entry,USAGE REIMB-WIFI,Jenn,,1
,Sunland RV Resort Emerald Desert,386618,16355565,229208,1-Oct-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Jenn,,0.11
,Sunland RV Resort Emerald Desert,393917,16387807,236107,1-Oct-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Jenn,,6.6
,Sunland RV Resort Emerald Desert,393917,16387808,236107,1-Oct-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Jenn,,0.11
,Sunland RV Resort Emerald Desert,393917,16387904,236107,1-Oct-19,Void: 02-ED Weekly Rate - (01-Oct-19),Incorrect Entry,Lot-Weekly,Jenn,,54.57
,Sunland RV Resort Emerald Desert,393917,16387844,236107,1-Oct-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Jenn,,5.89
,Sunland RV Resort Emerald Desert,393917,16387905,236107,1-Oct-19,Void:    - Internet Access-ED,Incorrect Entry,USAGE REIMB-WIFI,Jenn,,1
,Sunland RV Resort Emerald Desert,393917,16387845,236107,1-Oct-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Jenn,,0.11
,Sunland RV Resort Emerald Desert,390900,16406246,232790,1-Oct-19,Void: 07-ED Parking/Storage - (01-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406247,232790,1-Oct-19,Void: 07-ED Parking/Storage - (02-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406248,232790,1-Oct-19,Void: 07-ED Parking/Storage - (03-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406249,232790,1-Oct-19,Void: 07-ED Parking/Storage - (04-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406250,232790,1-Oct-19,Void: 07-ED Parking/Storage - (05-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406251,232790,1-Oct-19,Void: 07-ED Parking/Storage - (06-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406270,232790,1-Oct-19,Void: 07-ED Parking/Storage - (25-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406271,232790,1-Oct-19,Void: 07-ED Parking/Storage - (26-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406272,232790,1-Oct-19,Void: 07-ED Parking/Storage - (27-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406273,232790,1-Oct-19,Void: 07-ED Parking/Storage - (28-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406274,232790,1-Oct-19,Void: 07-ED Parking/Storage - (29-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406275,232790,1-Oct-19,Void: 07-ED Parking/Storage - (30-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406264,232790,1-Oct-19,Void: 07-ED Parking/Storage - (19-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406265,232790,1-Oct-19,Void: 07-ED Parking/Storage - (20-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406266,232790,1-Oct-19,Void: 07-ED Parking/Storage - (21-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406267,232790,1-Oct-19,Void: 07-ED Parking/Storage - (22-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406268,232790,1-Oct-19,Void: 07-ED Parking/Storage - (23-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406269,232790,1-Oct-19,Void: 07-ED Parking/Storage - (24-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406258,232790,1-Oct-19,Void: 07-ED Parking/Storage - (13-Sep-19),Incorrect Entry,PARKING,Jenn,,0
Report Generated: 30 Oct 2019 at 11:58 AM PDT,,,,,,,,,,Page 2 of 348,
Sunland RV Resort Emerald Desert,,,,,,,,,,,
Void Reasons,,,,,,,,,,,
Date: From 1 Oct 2019 to 31 Dec 2019,,,,,,,,,,,
,,,,,,,,,,,
,Property,Account No,Trans No,Res No,Date,Transaction Description,Reason,GL Code,User Name,,Amount
,,,,,,,,,,,
,Sunland RV Resort Emerald Desert,390900,16406259,232790,1-Oct-19,Void: 07-ED Parking/Storage - (14-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406260,232790,1-Oct-19,Void: 07-ED Parking/Storage - (15-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406261,232790,1-Oct-19,Void: 07-ED Parking/Storage - (16-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406262,232790,1-Oct-19,Void: 07-ED Parking/Storage - (17-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406263,232790,1-Oct-19,Void: 07-ED Parking/Storage - (18-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406252,232790,1-Oct-19,Void: 07-ED Parking/Storage - (07-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406253,232790,1-Oct-19,Void: 07-ED Parking/Storage - (08-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406254,232790,1-Oct-19,Void: 07-ED Parking/Storage - (09-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406255,232790,1-Oct-19,Void: 07-ED Parking/Storage - (10-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406256,232790,1-Oct-19,Void: 07-ED Parking/Storage - (11-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,390900,16406257,232790,1-Oct-19,Void: 07-ED Parking/Storage - (12-Sep-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,391853,16406049,234601,1-Oct-19,Void: Parking Space Monthly Space Dry Storage-ED - (01-Oct-19 - 0,Incorrect Entry,PARKING,Jenn,,360
,Sunland RV Resort Emerald Desert,391853,16405988,234601,1-Oct-19,Void: 07-ED Parking/Storage - (01-Oct-19),Incorrect Entry,PARKING,Jenn,,0
,Sunland RV Resort Emerald Desert,393943,16409993,236123,1-Oct-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Jenn,,0.11
,Sunland RV Resort Emerald Desert,393943,16409994,236123,1-Oct-19,Void:    - GOOD SAM,Incorrect Entry,Good Sam Discount,Jenn,,-9.7
,Sunland RV Resort Emerald Desert,393943,16409990,236123,1-Oct-19,Void: 01-ED Daily Charge - (01-Oct-19),Incorrect Entry,Lot-Daily,Jenn,,97
,Sunland RV Resort Emerald Desert,393943,16409991,236123,1-Oct-19,Void:    - TOT,Incorrect Entry,Transient/Occupancy Tax,Jenn,,9.5
