Property,Account No,Trans No,Res No,Date,Transaction Description,Reason,GL Code,User Name,Amount
Sunland RV Resort Oak Creek,295409,13756760,162877,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Alexis,0
Sunland RV Resort Oak Creek,303437,13444127,169160,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Alexis,0
Sunland RV Resort Oak Creek,308390,13457469,172537,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Alexis,0
Sunland RV Resort Oak Creek,313342,13076118,175817,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Alexis,0
Sunland RV Resort Oak Creek,313169,13229186,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Alexis,0
Sunland RV Resort Oak Creek,313169,13240595,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Alexis,0
Sunland RV Resort Oak Creek,313169,13625965,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Alexis,0
Sunland RV Resort Oak Creek,313169,13665792,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Alexis,0
Sunland RV Resort Oak Creek,313169,13753491,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Alexis,0
Sunland RV Resort Oak Creek,282008,9134389,152666,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Dates changed ,Lot-Monthly,Christopher,0
Sunland RV Resort Oak Creek,313169,14826631,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Jenn,0
Sunland RV Resort Oak Creek,351021,15007400,202214,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Jenn,0
Sunland RV Resort Oak Creek,354384,14949482,204790,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Jenn,0
Sunland RV Resort Oak Creek,355064,14978098,205337,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Jenn,0
Sunland RV Resort Oak Creek,276357,12440252,148317,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Posted to wrong account ,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,281717,13400722,152432,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,292781,11200138,160848,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,299558,12115209,166190,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,304965,12599046,170234,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,318873,14223465,179717,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,313169,13865055,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,313169,14078630,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Posted to wrong account ,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,313169,14240489,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Posted to wrong account ,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,313169,14276810,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,313169,14409033,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Posted to wrong account ,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,313169,14499816,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Posted to wrong account ,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,313169,14572902,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,313169,14608472,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Posted to wrong account ,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,313169,14938181,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Posted to wrong account ,Lot-Monthly,JESSICA,0
Sunland RV Resort Oak Creek,313169,14685126,209505,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Jim,0
Sunland RV Resort Oak Creek,360885,15205146,209951,1-Jan-19,Void: 13-OC Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Kimberlee,0
Sunland RV Resort Oak Creek,350171,15391091,201648,1-Jan-19,Void: UDC - (11879 - 11879),Incorrect Entry,USAGE REIMB-ELECTRIC,Kimberlee,0
Sunland RV Resort Oak Creek,350171,15391092,201648,1-Jan-19,Void: EECC - (11879 - 11879),Incorrect Entry,USAGE REIMB-ELECTRIC,Kimberlee,0
Sunland RV Resort Oak Creek,356926,15041526,206875,1-Jan-19,Void: 13-OC-Monthly - (01-Jan-19),Incorrect Entry,Lot-Monthly,Kimberlee,0
Sunland RV Resort Oak Creek,334032,15067371,190325,1-Jan-19,Void: Storage Security Deposit,Cancelled Reservation,Security Deposits,Kimberlee,250
Sunland RV Resort Oak Creek,359956,15391177,210863,1-Jan-19,Void: UDC - (16664 - 16801.5555555556),Incorrect Entry,USAGE REIMB-ELECTRIC,Kimberlee,12.8
Sunland RV Resort Oak Creek,359956,15391186,210863,1-Jan-19,Void: EECC - (16664 - 16801.5555555556),Incorrect Entry,USAGE REIMB-ELECTRIC,Kimberlee,23.72
Sunland RV Resort Oak Creek,356462,15391339,208644,1-Jan-19,Void: UDC - (3432 - 3432),Incorrect Entry,USAGE REIMB-ELECTRIC,Kimberlee,0
